HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
1,559.7251749999123,-513.3103199973702,252.82,0.64,42900.0,1.04,800.0,15100.0,1985.11,7200.0,858.0,351800.0,8300.0,6700.0,1550.44,17800.0,1094.44,20.68,6100.0,2.2,31.37
1,558.9551749998936,-515.2303199972957,246.87,0.2,70100.0,0.06,400.0,8300.0,5046.67,1000.0,3318.89,215200.0,24600.0,10400.0,2717.78,9700.0,960.0,3.89,600.0,5.02,4.78
1,557.2251749999123,-519.6103199962527,233.37,3.44,14000.0,2.02,900.0,12600.0,1467.2,21800.0,699.6,462600.0,4200.0,3200.0,1216.52,4300.0,937.2,20.64,11700.0,1.41,30.57
1,555.3751749999356,-524.3003199975938,218.92,4.88,19600.0,3.43,900.0,4500.0,606.79,22900.0,1285.71,444900.0,6100.0,4700.0,2504.82,2600.0,1024.29,18.0,11000.0,1.43,34.46
1,553.825174999889,-528.2103199977428,206.94,1.25,54300.0,0.5,2500.0,5600.000000000001,3598.69,5900.0,3353.23,288600.0,22300.0,4600.0,4249.9,1900.0,369.39,6.89,2200.0,3.28,10.33
1,552.075174999889,-532.5603199973702,193.91,0.9,53400.0,0.9,800.0,7100.0,7258.35,5600.000000000001,4759.49,292900.0,27599.999999999996,4100.0,3870.0,8900.0,473.67,29.52,2800.0000000000005,4.29,63.21
1,550.3051749998704,-537.0803199969232,180.8,0.93,4700.0,3.56,400.0,10300.0,1220.52,20000.0,538.08,485400.0,400.0,4200.0,1278.0,900.0,2236.21,83.06,19600.0,3.35,181.1
1,547.4951749999309,-544.3103199973702,160.08,0.76,67200.0,0.21,500.0,6300.0,1404.94,2800.0000000000005,2975.83,239700.0,19100.0,19300.0,3640.37,700.0000000000001,1308.62,5.51,1400.0000000000002,5.26,9.19
1,544.3351749998983,-552.4303199965507,137.08,1.12,62900.0,0.2,500.0,5300.0,1635.22,6100.0,2302.28,255700.0,9800.0,21100.0,5172.34,300.0,1062.14,6.12,2800.0000000000005,2.78,13.54
1,541.6951749998843,-559.1903199963272,117.96,0.77,68400.0,0.16,600.0,7800.0,914.03,2500.0,2190.97,214400.0,8400.0,26800.0,3480.25,900.0,990.88,3.26,900.0,4.45,5.28
1,538.3551749999169,-567.5303199980408,94.33,0.53,71700.0,0.12,1500.0,22100.0,2346.86,2100.0,1369.24,190500.0,10800.0,30500.0,4373.43,4100.0,951.94,4.02,800.0,5.45,6.13
1,537.0651749998797,-570.6803199965507,85.41,0.93,37300.0,0.27,3700.0,31900.0,4268.66,3900.0,1448.51,335600.0,2500.0,39900.0,6918.66,4600.0,351.64,4.27,2100.0,2.4,6.69
1,536.1751749998657,-572.9103199969977,79.13,0.31,57300.00000000001,0.11,1300.0,35400.0,5188.51,1400.0000000000002,2345.35,250300.0,5000.0,47800.0,9271.09,5300.0,254.85,3.46,1000.0,1.28,5.16
